Data as of,Start week,End Week,State,Sex,Age group,COVID19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
9/16/2020,2/1/2020,9/12/2020,United States,Female,85 years and over,34028,"361,331","30,391","12,632",820,"52,515"
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,Under 1 year,0,18,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,1-4 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,5-14 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,15-24 years,0,1,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,18-29 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,25-34 years,0,2,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,30-49 years,0,6,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,35-44 years,0,3,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,45-54 years,1,3,1,1,0,1
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,50-64 years,1,9,2,1,1,3
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,55-64 years,0,7,1,0,1,2
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,65-74 years,1,10,1,1,0,1
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,75-84 years,1,10,1,1,0,1
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,85 years and over,1,18,1,1,0,1
9/16/2020,2/1/2020,9/12/2020,Alabama,Male,Under 1 year,,112,0,0,,
9/16/2020,2/1/2020,9/12/2020,Alabama,Male,1-4 years,0,22,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alabama,Male,5-14 years,0,40,,0,0,
9/16/2020,2/1/2020,9/12/2020,Alabama,Male,15-24 years,,295,,0,,
9/16/2020,2/1/2020,9/12/2020,Alabama,Male,18-29 years,,491,,,,14
9/16/2020,2/1/2020,9/12/2020,Alabama,Male,25-34 years,15,547,16,,,26
9/16/2020,2/1/2020,9/12/2020,Alabama,Male,30-49 years,85,"1,656",83,30,,141
9/16/2020,2/1/2020,9/12/2020,Alabama,Male,35-44 years,37,812,47,16,,70
9/16/2020,2/1/2020,9/12/2020,Alabama,Male,45-54 years,104,"1,408",74,28,,156
9/16/2020,2/1/2020,9/12/2020,Alabama,Male,50-64 years,290,"4,074",279,90,21,500
9/16/2020,2/1/2020,9/12/2020,Alabama,Male,55-64 years,224,"3,208",230,71,16,399
9/16/2020,2/1/2020,9/12/2020,Alabama,Male,65-74 years,415,"4,426",408,140,17,699
9/16/2020,2/1/2020,9/12/2020,Alabama,Male,75-84 years,420,"4,580",410,143,,694
9/16/2020,2/1/2020,9/12/2020,Alabama,Male,85 years and over,283,"3,215",281,96,,474
9/16/2020,2/1/2020,9/12/2020,Alabama,Female,Under 1 year,0,84,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alabama,Female,1-4 years,0,19,0,0,,
9/16/2020,2/1/2020,9/12/2020,Alabama,Female,5-14 years,0,22,,0,0,
9/16/2020,2/1/2020,9/12/2020,Alabama,Female,15-24 years,,114,,0,0,
9/16/2020,2/1/2020,9/12/2020,Alabama,Female,18-29 years,,181,,,0,
9/16/2020,2/1/2020,9/12/2020,Alabama,Female,25-34 years,,237,15,,,19
9/16/2020,2/1/2020,9/12/2020,Alabama,Female,30-49 years,61,966,53,16,,103
9/16/2020,2/1/2020,9/12/2020,Alabama,Female,35-44 years,27,444,23,,,45
9/16/2020,2/1/2020,9/12/2020,Alabama,Female,45-54 years,78,946,60,21,,122
9/16/2020,2/1/2020,9/12/2020,Alabama,Female,50-64 years,229,"2,729",253,69,13,425
9/16/2020,2/1/2020,9/12/2020,Alabama,Female,55-64 years,179,"2,148",211,53,,345
9/16/2020,2/1/2020,9/12/2020,Alabama,Female,65-74 years,307,"3,355",270,106,12,483
9/16/2020,2/1/2020,9/12/2020,Alabama,Female,75-84 years,366,"4,555",360,128,,604
9/16/2020,2/1/2020,9/12/2020,Alabama,Female,85 years and over,466,"5,473",350,135,,683
9/16/2020,2/1/2020,9/12/2020,Alabama,Unknown,Under 1 year,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alabama,Unknown,1-4 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alabama,Unknown,5-14 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alabama,Unknown,15-24 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alabama,Unknown,18-29 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alabama,Unknown,25-34 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alabama,Unknown,30-49 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alabama,Unknown,35-44 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alabama,Unknown,45-54 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alabama,Unknown,50-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alabama,Unknown,55-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alabama,Unknown,65-74 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alabama,Unknown,75-84 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alabama,Unknown,85 years and over,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alaska,Male,Under 1 year,0,11,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alaska,Male,1-4 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alaska,Male,5-14 years,0,11,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alaska,Male,15-24 years,0,53,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alaska,Male,18-29 years,0,81,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alaska,Male,25-34 years,0,71,,0,0,
9/16/2020,2/1/2020,9/12/2020,Alaska,Male,30-49 years,,168,,,0,
9/16/2020,2/1/2020,9/12/2020,Alaska,Male,35-44 years,0,88,,0,0,
9/16/2020,2/1/2020,9/12/2020,Alaska,Male,45-54 years,,111,,,0,
9/16/2020,2/1/2020,9/12/2020,Alaska,Male,50-64 years,,347,14,,0,15
9/16/2020,2/1/2020,9/12/2020,Alaska,Male,55-64 years,,278,13,,0,14
9/16/2020,2/1/2020,9/12/2020,Alaska,Male,65-74 years,,335,12,,0,15
9/16/2020,2/1/2020,9/12/2020,Alaska,Male,75-84 years,,339,16,,,24
9/16/2020,2/1/2020,9/12/2020,Alaska,Male,85 years and over,,198,13,,,17
9/16/2020,2/1/2020,9/12/2020,Alaska,Female,Under 1 year,0,10,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alaska,Female,1-4 years,0,,,0,,
9/16/2020,2/1/2020,9/12/2020,Alaska,Female,5-14 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alaska,Female,15-24 years,0,24,,0,0,
9/16/2020,2/1/2020,9/12/2020,Alaska,Female,18-29 years,0,36,,0,0,
9/16/2020,2/1/2020,9/12/2020,Alaska,Female,25-34 years,,40,,0,0,
9/16/2020,2/1/2020,9/12/2020,Alaska,Female,30-49 years,,108,,0,0,
9/16/2020,2/1/2020,9/12/2020,Alaska,Female,35-44 years,0,54,,0,0,
9/16/2020,2/1/2020,9/12/2020,Alaska,Female,45-54 years,,74,,0,0,
9/16/2020,2/1/2020,9/12/2020,Alaska,Female,50-64 years,,190,13,,0,14
9/16/2020,2/1/2020,9/12/2020,Alaska,Female,55-64 years,,148,10,,0,10
9/16/2020,2/1/2020,9/12/2020,Alaska,Female,65-74 years,,237,12,,,14
9/16/2020,2/1/2020,9/12/2020,Alaska,Female,75-84 years,,222,11,,0,11
9/16/2020,2/1/2020,9/12/2020,Alaska,Female,85 years and over,,271,11,,0,12
9/16/2020,2/1/2020,9/12/2020,Alaska,Unknown,Under 1 year,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alaska,Unknown,1-4 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alaska,Unknown,5-14 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alaska,Unknown,15-24 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alaska,Unknown,18-29 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alaska,Unknown,25-34 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alaska,Unknown,30-49 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alaska,Unknown,35-44 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alaska,Unknown,45-54 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alaska,Unknown,50-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alaska,Unknown,55-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alaska,Unknown,65-74 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alaska,Unknown,75-84 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Alaska,Unknown,85 years and over,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arizona,Male,Under 1 year,0,132,,0,,
9/16/2020,2/1/2020,9/12/2020,Arizona,Male,1-4 years,,39,,0,,
9/16/2020,2/1/2020,9/12/2020,Arizona,Male,5-14 years,,40,,,,
9/16/2020,2/1/2020,9/12/2020,Arizona,Male,15-24 years,14,521,12,,,21
9/16/2020,2/1/2020,9/12/2020,Arizona,Male,18-29 years,35,882,31,21,,46
9/16/2020,2/1/2020,9/12/2020,Arizona,Male,25-34 years,56,915,44,31,,70
9/16/2020,2/1/2020,9/12/2020,Arizona,Male,30-49 years,225,"2,333",171,118,,281
9/16/2020,2/1/2020,9/12/2020,Arizona,Male,35-44 years,103,"1,119",78,55,,128
9/16/2020,2/1/2020,9/12/2020,Arizona,Male,45-54 years,234,"1,756",189,132,,295
9/16/2020,2/1/2020,9/12/2020,Arizona,Male,50-64 years,622,"4,697",588,368,17,859
9/16/2020,2/1/2020,9/12/2020,Arizona,Male,55-64 years,476,"3,679",469,283,13,675
9/16/2020,2/1/2020,9/12/2020,Arizona,Male,65-74 years,649,"5,530",726,406,14,983
9/16/2020,2/1/2020,9/12/2020,Arizona,Male,75-84 years,722,"6,378",818,430,12,"1,122"
9/16/2020,2/1/2020,9/12/2020,Arizona,Male,85 years and over,512,"5,305",547,261,10,808
9/16/2020,2/1/2020,9/12/2020,Arizona,Female,Under 1 year,0,105,,0,0,
9/16/2020,2/1/2020,9/12/2020,Arizona,Female,1-4 years,0,30,,0,0,
9/16/2020,2/1/2020,9/12/2020,Arizona,Female,5-14 years,0,37,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arizona,Female,15-24 years,,171,,,0,
9/16/2020,2/1/2020,9/12/2020,Arizona,Female,18-29 years,16,312,15,,0,23
9/16/2020,2/1/2020,9/12/2020,Arizona,Female,25-34 years,29,409,30,16,,44
9/16/2020,2/1/2020,9/12/2020,Arizona,Female,30-49 years,129,"1,109",113,77,,172
9/16/2020,2/1/2020,9/12/2020,Arizona,Female,35-44 years,55,503,39,27,,70
9/16/2020,2/1/2020,9/12/2020,Arizona,Female,45-54 years,107,928,112,65,,160
9/16/2020,2/1/2020,9/12/2020,Arizona,Female,50-64 years,330,"2,834",352,192,13,503
9/16/2020,2/1/2020,9/12/2020,Arizona,Female,55-64 years,278,"2,277",292,164,10,416
9/16/2020,2/1/2020,9/12/2020,Arizona,Female,65-74 years,441,"3,918",497,268,16,686
9/16/2020,2/1/2020,9/12/2020,Arizona,Female,75-84 years,538,"5,424",607,316,10,839
9/16/2020,2/1/2020,9/12/2020,Arizona,Female,85 years and over,587,"7,280",592,277,,910
9/16/2020,2/1/2020,9/12/2020,Arizona,Unknown,Under 1 year,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arizona,Unknown,1-4 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arizona,Unknown,5-14 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arizona,Unknown,15-24 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arizona,Unknown,18-29 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arizona,Unknown,25-34 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arizona,Unknown,30-49 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arizona,Unknown,35-44 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arizona,Unknown,45-54 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arizona,Unknown,50-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arizona,Unknown,55-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arizona,Unknown,65-74 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arizona,Unknown,75-84 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arizona,Unknown,85 years and over,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arkansas,Male,Under 1 year,0,83,,0,0,
9/16/2020,2/1/2020,9/12/2020,Arkansas,Male,1-4 years,0,20,0,0,,
9/16/2020,2/1/2020,9/12/2020,Arkansas,Male,5-14 years,0,27,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arkansas,Male,15-24 years,,177,,0,,
9/16/2020,2/1/2020,9/12/2020,Arkansas,Male,18-29 years,,268,,0,,12
9/16/2020,2/1/2020,9/12/2020,Arkansas,Male,25-34 years,,305,11,0,,20
9/16/2020,2/1/2020,9/12/2020,Arkansas,Male,30-49 years,34,960,46,12,,73
9/16/2020,2/1/2020,9/12/2020,Arkansas,Male,35-44 years,10,440,25,,,34
9/16/2020,2/1/2020,9/12/2020,Arkansas,Male,45-54 years,43,780,53,21,,78
9/16/2020,2/1/2020,9/12/2020,Arkansas,Male,50-64 years,115,"2,343",197,63,14,263
9/16/2020,2/1/2020,9/12/2020,Arkansas,Male,55-64 years,91,"1,908",159,50,12,212
9/16/2020,2/1/2020,9/12/2020,Arkansas,Male,65-74 years,123,"2,744",207,58,11,283
9/16/2020,2/1/2020,9/12/2020,Arkansas,Male,75-84 years,149,"2,742",265,72,,349
9/16/2020,2/1/2020,9/12/2020,Arkansas,Male,85 years and over,101,"1,943",191,47,,247
9/16/2020,2/1/2020,9/12/2020,Arkansas,Female,Under 1 year,0,55,,0,0,
9/16/2020,2/1/2020,9/12/2020,Arkansas,Female,1-4 years,0,14,0,0,,
9/16/2020,2/1/2020,9/12/2020,Arkansas,Female,5-14 years,0,14,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arkansas,Female,15-24 years,,66,,,,
9/16/2020,2/1/2020,9/12/2020,Arkansas,Female,18-29 years,,120,,,,
9/16/2020,2/1/2020,9/12/2020,Arkansas,Female,25-34 years,,153,10,,0,13
9/16/2020,2/1/2020,9/12/2020,Arkansas,Female,30-49 years,29,618,36,10,,56
9/16/2020,2/1/2020,9/12/2020,Arkansas,Female,35-44 years,12,284,14,,,24
9/16/2020,2/1/2020,9/12/2020,Arkansas,Female,45-54 years,18,548,39,,,52
9/16/2020,2/1/2020,9/12/2020,Arkansas,Female,50-64 years,61,"1,505",130,31,,169
9/16/2020,2/1/2020,9/12/2020,Arkansas,Female,55-64 years,55,"1,201",106,28,,139
9/16/2020,2/1/2020,9/12/2020,Arkansas,Female,65-74 years,75,"1,956",157,30,10,212
9/16/2020,2/1/2020,9/12/2020,Arkansas,Female,75-84 years,113,"2,531",193,46,,265
9/16/2020,2/1/2020,9/12/2020,Arkansas,Female,85 years and over,171,"3,273",230,53,,356
9/16/2020,2/1/2020,9/12/2020,Arkansas,Unknown,Under 1 year,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arkansas,Unknown,1-4 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arkansas,Unknown,5-14 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arkansas,Unknown,15-24 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arkansas,Unknown,18-29 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arkansas,Unknown,25-34 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arkansas,Unknown,30-49 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arkansas,Unknown,35-44 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arkansas,Unknown,45-54 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arkansas,Unknown,50-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arkansas,Unknown,55-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arkansas,Unknown,65-74 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arkansas,Unknown,75-84 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Arkansas,Unknown,85 years and over,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,California,Male,Under 1 year,,579,10,0,0,11
9/16/2020,2/1/2020,9/12/2020,California,Male,1-4 years,0,114,,0,,
9/16/2020,2/1/2020,9/12/2020,California,Male,5-14 years,0,167,,0,,
9/16/2020,2/1/2020,9/12/2020,California,Male,15-24 years,19,"1,679",37,10,,47
9/16/2020,2/1/2020,9/12/2020,California,Male,18-29 years,51,"2,949",74,19,,112
9/16/2020,2/1/2020,9/12/2020,California,Male,25-34 years,93,"3,143",107,44,,165
9/16/2020,2/1/2020,9/12/2020,California,Male,30-49 years,638,"8,485",658,366,24,954
9/16/2020,2/1/2020,9/12/2020,California,Male,35-44 years,285,"4,074",298,160,10,433
9/16/2020,2/1/2020,9/12/2020,California,Male,45-54 years,696,"6,879",709,389,33,"1,049"
9/16/2020,2/1/2020,9/12/2020,California,Male,50-64 years,1847,"19,014","2,065","1,070",94,"2,936"
9/16/2020,2/1/2020,9/12/2020,California,Male,55-64 years,1444,"14,873","1,650",852,71,"2,313"
9/16/2020,2/1/2020,9/12/2020,California,Male,65-74 years,1951,"20,500","2,508","1,154",64,"3,367"
9/16/2020,2/1/2020,9/12/2020,California,Male,75-84 years,1849,"22,377","2,756","1,106",58,"3,557"
9/16/2020,2/1/2020,9/12/2020,California,Male,85 years and over,1641,"23,980","2,611",884,52,"3,420"
9/16/2020,2/1/2020,9/12/2020,California,Female,Under 1 year,0,441,,0,,
9/16/2020,2/1/2020,9/12/2020,California,Female,1-4 years,0,75,,0,,
9/16/2020,2/1/2020,9/12/2020,California,Female,5-14 years,0,134,,0,,
9/16/2020,2/1/2020,9/12/2020,California,Female,15-24 years,17,532,21,,,36
9/16/2020,2/1/2020,9/12/2020,California,Female,18-29 years,30,921,51,15,,72
9/16/2020,2/1/2020,9/12/2020,California,Female,25-34 years,44,"1,132",67,23,10,98
9/16/2020,2/1/2020,9/12/2020,California,Female,30-49 years,245,"3,980",316,130,24,455
9/16/2020,2/1/2020,9/12/2020,California,Female,35-44 years,118,"1,867",150,64,10,214
9/16/2020,2/1/2020,9/12/2020,California,Female,45-54 years,279,"3,804",356,158,22,499
9/16/2020,2/1/2020,9/12/2020,California,Female,50-64 years,788,"10,891","1,102",463,59,"1,486"
9/16/2020,2/1/2020,9/12/2020,California,Female,55-64 years,607,"8,565",876,358,46,"1,171"
9/16/2020,2/1/2020,9/12/2020,California,Female,65-74 years,1040,"13,937","1,509",628,48,"1,969"
9/16/2020,2/1/2020,9/12/2020,California,Female,75-84 years,1431,"20,046","2,076",788,69,"2,788"
9/16/2020,2/1/2020,9/12/2020,California,Female,85 years and over,2226,"35,367","3,127","1,080",63,"4,336"
9/16/2020,2/1/2020,9/12/2020,California,Unknown,Under 1 year,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,California,Unknown,1-4 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,California,Unknown,5-14 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,California,Unknown,15-24 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,California,Unknown,18-29 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,California,Unknown,25-34 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,California,Unknown,30-49 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,California,Unknown,35-44 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,California,Unknown,45-54 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,California,Unknown,50-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,California,Unknown,55-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,California,Unknown,65-74 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,California,Unknown,75-84 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,California,Unknown,85 years and over,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Colorado,Male,Under 1 year,0,106,0,0,,
9/16/2020,2/1/2020,9/12/2020,Colorado,Male,1-4 years,0,19,,0,,
9/16/2020,2/1/2020,9/12/2020,Colorado,Male,5-14 years,0,40,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Colorado,Male,15-24 years,,339,,,,
9/16/2020,2/1/2020,9/12/2020,Colorado,Male,18-29 years,,582,,,,13
9/16/2020,2/1/2020,9/12/2020,Colorado,Male,25-34 years,,636,17,,0,19
9/16/2020,2/1/2020,9/12/2020,Colorado,Male,30-49 years,52,"1,518",67,24,,100
9/16/2020,2/1/2020,9/12/2020,Colorado,Male,35-44 years,18,740,32,,,45
9/16/2020,2/1/2020,9/12/2020,Colorado,Male,45-54 years,66,"1,068",66,33,,105
9/16/2020,2/1/2020,9/12/2020,Colorado,Male,50-64 years,170,"2,799",218,90,14,312
9/16/2020,2/1/2020,9/12/2020,Colorado,Male,55-64 years,135,"2,176",175,70,10,250
9/16/2020,2/1/2020,9/12/2020,Colorado,Male,65-74 years,238,"3,129",319,139,10,428
9/16/2020,2/1/2020,9/12/2020,Colorado,Male,75-84 years,307,"3,323",359,177,,493
9/16/2020,2/1/2020,9/12/2020,Colorado,Male,85 years and over,300,"3,189",302,144,10,466
9/16/2020,2/1/2020,9/12/2020,Colorado,Female,Under 1 year,0,101,,0,0,
9/16/2020,2/1/2020,9/12/2020,Colorado,Female,1-4 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Colorado,Female,5-14 years,0,20,,0,,
9/16/2020,2/1/2020,9/12/2020,Colorado,Female,15-24 years,,122,,0,0,
