NAME,state,county,Estimate!!Total!!Two or more races!!Two races including Some other race,Estimate!!Total!!Some other race alone,Estimate!!Total!!Two or more races,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",Estimate!!Total!!White alone,Estimate!!Total,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Asian alone,Estimate!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Black or African American alone
"Anoka County, Minnesota",27,003,1206.0,5541.0,11342.0,10136.0,292678.0,347431.0,97.0,14987.0,2289.0,20497.0
"Stearns County, Minnesota",27,145,261.0,2016.0,2688.0,2427.0,139218.0,156819.0,9.0,3367.0,434.0,9087.0
"Lincoln County, Minnesota",27,081,2.0,14.0,32.0,30.0,5579.0,5707.0,0.0,9.0,58.0,15.0
"Marshall County, Minnesota",27,089,11.0,43.0,131.0,120.0,9121.0,9392.0,2.0,31.0,28.0,36.0
"Mille Lacs County, Minnesota",27,095,5.0,85.0,744.0,739.0,23278.0,25728.0,13.0,206.0,1293.0,109.0
"Washington County, Minnesota",27,163,1079.0,1735.0,7698.0,6619.0,217742.0,253317.0,87.0,13974.0,1025.0,11056.0
"Carlton County, Minnesota",27,017,56.0,39.0,1029.0,973.0,31723.0,35540.0,0.0,180.0,1940.0,629.0
"Kanabec County, Minnesota",27,065,11.0,20.0,292.0,281.0,15412.0,16004.0,2.0,86.0,136.0,56.0
"Koochiching County, Minnesota",27,071,5.0,8.0,240.0,235.0,11820.0,12644.0,0.0,59.0,456.0,61.0
"Red Lake County, Minnesota",27,125,12.0,30.0,111.0,99.0,3799.0,4008.0,0.0,3.0,53.0,12.0
"Morrison County, Minnesota",27,097,58.0,220.0,452.0,394.0,31874.0,32949.0,0.0,154.0,73.0,176.0
"Rice County, Minnesota",27,131,146.0,2107.0,1222.0,1076.0,57204.0,65765.0,73.0,1388.0,248.0,3523.0
"Steele County, Minnesota",27,147,43.0,1184.0,404.0,361.0,33297.0,36676.0,31.0,532.0,116.0,1112.0
"Aitkin County, Minnesota",27,001,15.0,35.0,283.0,268.0,15011.0,15834.0,14.0,57.0,345.0,89.0
"Faribault County, Minnesota",27,043,0.0,59.0,202.0,202.0,13539.0,13896.0,0.0,39.0,32.0,25.0
"Murray County, Minnesota",27,101,14.0,33.0,82.0,68.0,8066.0,8353.0,0.0,104.0,19.0,49.0
"Kandiyohi County, Minnesota",27,067,122.0,1553.0,698.0,576.0,37786.0,42658.0,0.0,387.0,178.0,2056.0
"Lake County, Minnesota",27,075,2.0,41.0,130.0,128.0,10213.0,10569.0,43.0,3.0,61.0,78.0
"Rock County, Minnesota",27,133,0.0,43.0,44.0,44.0,9054.0,9413.0,0.0,97.0,68.0,107.0
"Sibley County, Minnesota",27,143,25.0,207.0,123.0,98.0,14301.0,14912.0,5.0,100.0,49.0,127.0
"Traverse County, Minnesota",27,155,3.0,9.0,69.0,66.0,3078.0,3337.0,0.0,10.0,149.0,22.0
"Becker County, Minnesota",27,005,50.0,93.0,1140.0,1090.0,29630.0,33773.0,8.0,206.0,2510.0,186.0
"Hennepin County, Minnesota",27,053,3841.0,35370.0,44575.0,40734.0,897497.0,1235478.0,451.0,87536.0,8819.0,161230.0
"Brown County, Minnesota",27,015,7.0,492.0,192.0,185.0,24139.0,25211.0,0.0,141.0,61.0,186.0
"Chippewa County, Minnesota",27,023,7.0,437.0,106.0,99.0,10915.0,12010.0,137.0,111.0,222.0,82.0
"Clearwater County, Minnesota",27,029,30.0,15.0,398.0,368.0,7576.0,8812.0,2.0,39.0,748.0,34.0
"Hubbard County, Minnesota",27,057,35.0,132.0,436.0,401.0,19560.0,20862.0,0.0,124.0,456.0,154.0
"Isanti County, Minnesota",27,059,18.0,186.0,772.0,754.0,37154.0,38974.0,6.0,506.0,160.0,190.0
"Martin County, Minnesota",27,091,7.0,254.0,325.0,318.0,19208.0,19964.0,13.0,75.0,25.0,64.0
"Mower County, Minnesota",27,099,238.0,862.0,878.0,640.0,34984.0,39602.0,156.0,1230.0,67.0,1425.0
"Pine County, Minnesota",27,115,36.0,127.0,798.0,762.0,26637.0,29129.0,23.0,167.0,717.0,660.0
"Olmsted County, Minnesota",27,109,292.0,1575.0,4069.0,3777.0,128902.0,153065.0,70.0,8908.0,477.0,9064.0
"Wadena County, Minnesota",27,159,1.0,69.0,202.0,201.0,13063.0,13646.0,0.0,57.0,108.0,147.0
"Benton County, Minnesota",27,009,29.0,221.0,1077.0,1048.0,36689.0,39779.0,0.0,438.0,32.0,1322.0
"Freeborn County, Minnesota",27,047,108.0,404.0,459.0,351.0,28440.0,30526.0,16.0,671.0,128.0,408.0
"McLeod County, Minnesota",27,085,30.0,855.0,473.0,443.0,34005.0,35825.0,0.0,224.0,68.0,200.0
"Pope County, Minnesota",27,121,1.0,80.0,154.0,153.0,10624.0,10980.0,0.0,58.0,23.0,41.0
"Stevens County, Minnesota",27,149,19.0,81.0,159.0,140.0,9039.0,9784.0,34.0,215.0,123.0,133.0
"Swift County, Minnesota",27,151,0.0,139.0,36.0,36.0,8935.0,9411.0,39.0,30.0,2.0,230.0
"Holmes County, Mississippi",28,051,7.0,46.0,18.0,11.0,2854.0,18075.0,0.0,8.0,9.0,15140.0
"Amite County, Mississippi",28,005,0.0,0.0,32.0,32.0,7156.0,12468.0,0.0,38.0,3.0,5239.0
"Calhoun County, Mississippi",28,013,19.0,746.0,264.0,245.0,9542.0,14571.0,24.0,33.0,0.0,3962.0
"Tishomingo County, Mississippi",28,141,24.0,258.0,164.0,140.0,18456.0,19478.0,0.0,10.0,33.0,557.0
"Wayne County, Mississippi",28,153,0.0,48.0,147.0,147.0,11748.0,20422.0,0.0,14.0,64.0,8401.0
"Austin County, Texas",48,015,48.0,2431.0,561.0,513.0,23810.0,29565.0,0.0,89.0,48.0,2626.0
"Kenedy County, Texas",48,261,0.0,21.0,0.0,0.0,573.0,595.0,0.0,1.0,0.0,0.0
"Nueces County, Texas",48,355,2060.0,7587.0,5831.0,3771.0,324198.0,360486.0,242.0,7370.0,1638.0,13620.0
"Colorado County, Texas",48,089,128.0,2489.0,347.0,219.0,15479.0,21022.0,0.0,7.0,35.0,2665.0
"San Patricio County, Texas",48,409,314.0,1407.0,1682.0,1368.0,61920.0,67046.0,43.0,693.0,177.0,1124.0
"Rains County, Texas",48,379,29.0,449.0,253.0,224.0,10372.0,11473.0,0.0,8.0,69.0,322.0
"Randall County, Texas",48,381,943.0,2932.0,4333.0,3390.0,118502.0,132475.0,73.0,2162.0,570.0,3903.0
"Real County, Texas",48,385,0.0,26.0,1.0,1.0,3355.0,3389.0,0.0,2.0,0.0,5.0
"San Saba County, Texas",48,411,15.0,443.0,267.0,252.0,5106.0,5962.0,0.0,3.0,0.0,143.0
"Schleicher County, Texas",48,413,0.0,1176.0,1.0,1.0,1871.0,3061.0,0.0,0.0,0.0,13.0
"Sterling County, Texas",48,431,0.0,85.0,16.0,16.0,1037.0,1141.0,0.0,0.0,0.0,3.0
"Zavala County, Texas",48,507,6.0,578.0,130.0,124.0,11359.0,12131.0,0.0,4.0,0.0,60.0
"Calhoun County, Texas",48,057,74.0,339.0,943.0,869.0,18896.0,21807.0,17.0,1032.0,19.0,561.0
"Carson County, Texas",48,065,14.0,57.0,74.0,60.0,5713.0,6032.0,0.0,31.0,79.0,78.0
"Foard County, Texas",48,155,78.0,93.0,78.0,0.0,1212.0,1408.0,0.0,0.0,0.0,25.0
"Freestone County, Texas",48,161,69.0,191.0,278.0,209.0,15965.0,19709.0,0.0,133.0,14.0,3128.0
"Goliad County, Texas",48,175,0.0,1164.0,21.0,21.0,5917.0,7531.0,0.0,43.0,0.0,386.0
"Hamilton County, Texas",48,193,43.0,151.0,145.0,102.0,7845.0,8269.0,0.0,24.0,62.0,42.0
"Hardeman County, Texas",48,197,0.0,124.0,96.0,96.0,3411.0,3952.0,0.0,0.0,41.0,280.0
"Mitchell County, Texas",48,335,146.0,490.0,261.0,115.0,6754.0,8558.0,0.0,30.0,82.0,941.0
"Briscoe County, Texas",48,045,27.0,26.0,146.0,119.0,1319.0,1546.0,17.0,0.0,0.0,38.0
"Lavaca County, Texas",48,285,338.0,2294.0,578.0,240.0,15654.0,19941.0,5.0,71.0,49.0,1290.0
"Terry County, Texas",48,445,97.0,457.0,247.0,150.0,11230.0,12615.0,0.0,0.0,41.0,640.0
"Jeff Davis County, Texas",48,243,0.0,24.0,16.0,16.0,2116.0,2234.0,0.0,51.0,9.0,18.0
"Webb County, Texas",48,479,654.0,7882.0,1519.0,865.0,259619.0,272053.0,33.0,1361.0,471.0,1168.0
"Jim Hogg County, Texas",48,247,9.0,26.0,28.0,19.0,5222.0,5282.0,0.0,0.0,2.0,4.0
"Montgomery County, Texas",48,339,2037.0,15897.0,14781.0,12744.0,479421.0,554445.0,346.0,15765.0,2057.0,26178.0
"Dallam County, Texas",48,111,109.0,123.0,225.0,116.0,6638.0,7243.0,0.0,107.0,87.0,63.0
"Armstrong County, Texas",48,011,1.0,37.0,13.0,12.0,1830.0,1916.0,0.0,0.0,29.0,7.0
"Castro County, Texas",48,069,30.0,265.0,263.0,233.0,7079.0,7787.0,1.0,92.0,17.0,70.0
"Kleberg County, Texas",48,273,91.0,1296.0,777.0,686.0,27560.0,31425.0,0.0,695.0,72.0,1025.0
"Willacy County, Texas",48,489,32.0,498.0,89.0,57.0,20888.0,21754.0,0.0,0.0,133.0,146.0
"Crosby County, Texas",48,107,51.0,280.0,94.0,43.0,5233.0,5861.0,0.0,14.0,0.0,240.0
"Fisher County, Texas",48,151,14.0,97.0,142.0,128.0,3467.0,3883.0,5.0,23.0,35.0,114.0
"Duval County, Texas",48,131,18.0,1222.0,26.0,8.0,9884.0,11355.0,0.0,0.0,32.0,191.0
"Blanco County, Texas",48,031,86.0,353.0,377.0,291.0,10171.0,11279.0,39.0,165.0,116.0,58.0
"Jasper County, Texas",48,241,69.0,1094.0,567.0,498.0,27662.0,35504.0,51.0,172.0,109.0,5849.0
"Kinney County, Texas",48,271,1.0,109.0,1.0,0.0,3555.0,3675.0,0.0,0.0,7.0,3.0
"Deaf Smith County, Texas",48,117,88.0,977.0,624.0,536.0,16893.0,18899.0,16.0,103.0,92.0,194.0
"Galveston County, Texas",48,167,1387.0,7701.0,10042.0,8655.0,255662.0,327089.0,213.0,10725.0,1481.0,41265.0
"La Salle County, Texas",48,283,117.0,1242.0,290.0,173.0,5763.0,7409.0,0.0,12.0,0.0,102.0
"Roberts County, Texas",48,393,0.0,5.0,28.0,28.0,844.0,885.0,0.0,8.0,0.0,0.0
"Tyler County, Texas",48,457,10.0,527.0,387.0,377.0,18060.0,21496.0,0.0,60.0,12.0,2450.0
"Wheeler County, Texas",48,483,3.0,293.0,167.0,164.0,4820.0,5482.0,17.0,5.0,20.0,160.0
"Bowie County, Texas",48,037,319.0,1692.0,2532.0,2213.0,64640.0,93858.0,44.0,1012.0,877.0,23061.0
"Brewster County, Texas",48,043,45.0,201.0,157.0,112.0,8504.0,9216.0,0.0,154.0,179.0,21.0
"Kent County, Texas",48,263,0.0,58.0,6.0,6.0,663.0,749.0,0.0,0.0,14.0,8.0
"Smith County, Texas",48,423,688.0,4018.0,3840.0,3152.0,172884.0,225015.0,299.0,3875.0,778.0,39321.0
"Crockett County, Texas",48,105,0.0,2056.0,25.0,25.0,1520.0,3633.0,0.0,0.0,0.0,32.0
"Hardin County, Texas",48,199,175.0,168.0,900.0,725.0,51670.0,56379.0,0.0,326.0,110.0,3205.0
"Howard County, Texas",48,227,496.0,2279.0,1167.0,671.0,30180.0,36667.0,18.0,299.0,437.0,2287.0
"Leon County, Texas",48,289,13.0,262.0,146.0,133.0,15184.0,17098.0,52.0,136.0,89.0,1229.0
"Montague County, Texas",48,337,47.0,206.0,653.0,606.0,18398.0,19409.0,0.0,0.0,32.0,120.0
"Panola County, Texas",48,365,15.0,167.0,181.0,166.0,18983.0,23440.0,0.0,57.0,29.0,4023.0
"Millard County, Utah",49,027,21.0,1002.0,226.0,205.0,11219.0,12733.0,13.0,118.0,150.0,5.0
"Washington County, Utah",49,053,499.0,5236.0,3261.0,2762.0,145948.0,160537.0,1351.0,1219.0,2392.0,1130.0
"Kane County, Utah",49,025,22.0,116.0,190.0,168.0,6847.0,7350.0,10.0,53.0,105.0,29.0
"Grand County, Utah",49,019,0.0,0.0,87.0,87.0,8933.0,9616.0,62.0,186.0,297.0,51.0
"Rich County, Utah",49,033,0.0,68.0,0.0,0.0,2282.0,2350.0,0.0,0.0,0.0,0.0
"Wasatch County, Utah",49,051,49.0,359.0,685.0,636.0,28962.0,30523.0,5.0,383.0,34.0,95.0
"Box Elder County, Utah",49,003,226.0,1332.0,900.0,674.0,49365.0,53001.0,34.0,420.0,647.0,303.0
"Iron County, Utah",49,021,50.0,1500.0,1162.0,1112.0,45242.0,49691.0,27.0,323.0,1173.0,264.0
"Sevier County, Utah",49,041,22.0,510.0,120.0,98.0,19932.0,21118.0,16.0,12.0,379.0,149.0
"Weber County, Utah",49,057,915.0,10680.0,8556.0,7641.0,220647.0,247731.0,711.0,2725.0,1712.0,2700.0
"Duchesne County, Utah",49,013,5.0,684.0,352.0,347.0,18129.0,20219.0,52.0,109.0,802.0,91.0
"San Juan County, Utah",49,037,26.0,55.0,396.0,370.0,7377.0,15281.0,40.0,62.0,7315.0,36.0
"Salt Lake County, Utah",49,035,7706.0,105656.0,36666.0,28960.0,887562.0,1120805.0,16723.0,45043.0,8616.0,20539.0
"Uintah County, Utah",49,047,144.0,498.0,774.0,630.0,31960.0,36323.0,31.0,128.0,2731.0,201.0
"Daggett County, Utah",49,009,0.0,7.0,11.0,11.0,585.0,612.0,0.0,0.0,8.0,1.0
"Davis County, Utah",49,011,2302.0,8231.0,11608.0,9306.0,306564.0,340621.0,2118.0,6117.0,1453.0,4530.0
"Wayne County, Utah",49,055,5.0,18.0,27.0,22.0,2585.0,2694.0,34.0,13.0,8.0,9.0
"Carbon County, Utah",49,007,277.0,488.0,682.0,405.0,18784.0,20356.0,13.0,84.0,172.0,133.0
"Emery County, Utah",49,015,0.0,4.0,97.0,97.0,9987.0,10248.0,2.0,66.0,75.0,17.0
"Morgan County, Utah",49,029,0.0,73.0,102.0,102.0,10999.0,11391.0,18.0,113.0,9.0,77.0
"Cache County, Utah",49,005,370.0,4511.0,3004.0,2634.0,110323.0,122336.0,478.0,2496.0,563.0,961.0
"Garfield County, Utah",49,017,12.0,44.0,70.0,58.0,4700.0,5017.0,22.0,5.0,164.0,12.0
"Juab County, Utah",49,023,36.0,266.0,247.0,211.0,10264.0,10948.0,10.0,18.0,125.0,18.0
"Rutland County, Vermont",50,021,41.0,112.0,541.0,500.0,57234.0,59273.0,0.0,581.0,283.0,522.0
"Orleans County, Vermont",50,019,10.0,75.0,562.0,552.0,25946.0,26911.0,0.0,64.0,144.0,120.0
"Grand Isle County, Vermont",50,013,0.0,14.0,245.0,245.0,6584.0,6965.0,0.0,34.0,33.0,55.0
"Orange County, Vermont",50,017,4.0,84.0,485.0,481.0,27982.0,28937.0,16.0,71.0,111.0,188.0
"Chittenden County, Vermont",50,007,157.0,886.0,3238.0,3081.0,146601.0,162052.0,45.0,6747.0,432.0,4103.0
"Lamoille County, Vermont",50,015,2.0,46.0,410.0,408.0,24196.0,25268.0,0.0,158.0,196.0,262.0
"Windsor County, Vermont",50,027,0.0,247.0,1106.0,1106.0,53094.0,55427.0,48.0,465.0,62.0,405.0
"Caledonia County, Vermont",50,005,13.0,30.0,549.0,536.0,29241.0,30425.0,0.0,201.0,69.0,335.0
"Tazewell County, Virginia",51,185,3.0,70.0,376.0,373.0,39841.0,42080.0,44.0,272.0,110.0,1367.0
"Windham County, Vermont",50,025,60.0,115.0,1065.0,1005.0,40874.0,43150.0,33.0,483.0,71.0,509.0
"Addison County, Vermont",50,001,32.0,210.0,626.0,594.0,34783.0,36939.0,0.0,714.0,124.0,482.0
"Washington County, Vermont",50,023,14.0,88.0,1139.0,1125.0,56069.0,58477.0,27.0,462.0,199.0,493.0
"Falls Church city, Virginia",51,610,68.0,221.0,456.0,388.0,11276.0,14067.0,0.0,1421.0,23.0,670.0
"Manassas Park city, Virginia",51,685,123.0,1063.0,580.0,457.0,10450.0,16423.0,4.0,1779.0,47.0,2500.0
"Poquoson city, Virginia",51,735,11.0,22.0,258.0,247.0,11355.0,12039.0,0.0,236.0,27.0,141.0
"Sussex County, Virginia",51,183,4.0,87.0,289.0,285.0,4537.0,11486.0,4.0,50.0,31.0,6488.0
"Waynesboro city, Virginia",51,820,10.0,164.0,491.0,481.0,17833.0,21926.0,41.0,207.0,90.0,3100.0
"Roanoke city, Virginia",51,770,335.0,1896.0,3552.0,3217.0,62282.0,99621.0,28.0,3070.0,186.0,28607.0
"Salem city, Virginia",51,775,72.0,91.0,844.0,772.0,22268.0,25519.0,20.0,470.0,34.0,1792.0
"Norfolk city, Virginia",51,710,1157.0,7254.0,10548.0,9391.0,115443.0,245592.0,161.0,9063.0,1006.0,102117.0
"Charlotte County, Virginia",51,037,1.0,109.0,102.0,101.0,8323.0,12095.0,0.0,45.0,10.0,3506.0
"Fairfax County, Virginia",51,059,6203.0,50267.0,53064.0,46861.0,708761.0,1143529.0,838.0,217066.0,2507.0,111026.0
"Greensville County, Virginia",51,081,26.0,42.0,217.0,191.0,4417.0,11659.0,0.0,7.0,11.0,6965.0
"James City County, Virginia",51,095,142.0,382.0,2466.0,2324.0,59610.0,74153.0,15.0,1783.0,138.0,9759.0
"Russell County, Virginia",51,167,42.0,1.0,355.0,313.0,26676.0,27408.0,0.0,0.0,18.0,358.0
"Smyth County, Virginia",51,173,45.0,59.0,362.0,317.0,29708.0,31059.0,36.0,141.0,11.0,742.0
"Lexington city, Virginia",51,678,28.0,0.0,224.0,196.0,6166.0,7110.0,0.0,264.0,0.0,456.0
"Campbell County, Virginia",51,031,43.0,389.0,1330.0,1287.0,45008.0,55170.0,7.0,456.0,76.0,7904.0
"Henry County, Virginia",51,089,250.0,1386.0,1181.0,931.0,37119.0,51588.0,0.0,373.0,49.0,11480.0
"King George County, Virginia",51,099,111.0,101.0,1022.0,911.0,20125.0,25890.0,0.0,322.0,89.0,4231.0
"Lancaster County, Virginia",51,103,0.0,0.0,58.0,58.0,7366.0,10804.0,0.0,60.0,0.0,3320.0
"Lee County, Virginia",51,105,76.0,153.0,208.0,132.0,22551.0,24134.0,0.0,82.0,107.0,1033.0
"Mathews County, Virginia",51,115,0.0,0.0,249.0,249.0,7592.0,8796.0,3.0,25.0,21.0,906.0
"Middlesex County, Virginia",51,119,20.0,357.0,285.0,265.0,8321.0,10700.0,16.0,17.0,51.0,1653.0
"Prince George County, Virginia",51,149,266.0,705.0,1744.0,1478.0,22185.0,37894.0,147.0,675.0,234.0,12204.0
"Rockingham County, Virginia",51,165,150.0,704.0,1370.0,1220.0,74456.0,79444.0,57.0,582.0,257.0,2018.0
"Scott County, Virginia",51,169,0.0,18.0,114.0,114.0,21566.0,22009.0,0.0,92.0,57.0,162.0
"Surry County, Virginia",51,181,0.0,14.0,104.0,104.0,3487.0,6600.0,0.0,10.0,2.0,2983.0
"Appomattox County, Virginia",51,011,15.0,34.0,294.0,279.0,12125.0,15577.0,0.0,24.0,12.0,3088.0
"Franklin County, Virginia",51,067,0.0,605.0,913.0,913.0,49967.0,56233.0,0.0,210.0,140.0,4398.0
"King and Queen County, Virginia",51,097,0.0,8.0,396.0,396.0,4826.0,7052.0,0.0,0.0,22.0,1800.0
"Montgomery County, Virginia",51,121,150.0,917.0,1533.0,1383.0,84168.0,97997.0,37.0,6512.0,368.0,4462.0
"New Kent County, Virginia",51,127,11.0,167.0,911.0,900.0,17201.0,21103.0,0.0,224.0,204.0,2396.0
"Cumberland County, Virginia",51,049,0.0,0.0,260.0,260.0,6207.0,9786.0,0.0,93.0,77.0,3149.0
"Goochland County, Virginia",51,075,5.0,113.0,475.0,470.0,17970.0,22482.0,0.0,292.0,27.0,3605.0
"Halifax County, Virginia",51,083,61.0,245.0,964.0,903.0,21061.0,34779.0,0.0,268.0,93.0,12148.0
"Madison County, Virginia",51,113,31.0,200.0,651.0,620.0,11268.0,13139.0,0.0,110.0,0.0,910.0
"Prince William County, Virginia",51,153,3574.0,31999.0,26822.0,23248.0,263741.0,456749.0,615.0,37169.0,1645.0,94758.0
"Southampton County, Virginia",51,175,4.0,58.0,702.0,698.0,11135.0,17939.0,0.0,38.0,69.0,5937.0
"Highland County, Virginia",51,091,0.0,0.0,8.0,8.0,2203.0,2214.0,0.0,0.0,3.0,0.0
"Brunswick County, Virginia",51,025,10.0,149.0,308.0,298.0,6962.0,16665.0,0.0,99.0,26.0,9121.0
"Caroline County, Virginia",51,033,54.0,572.0,995.0,941.0,19874.0,30184.0,0.0,268.0,47.0,8428.0
"Gloucester County, Virginia",51,073,100.0,33.0,1008.0,908.0,32660.0,37161.0,0.0,308.0,81.0,3071.0
"Northampton County, Virginia",51,131,0.0,49.0,329.0,329.0,7435.0,11957.0,13.0,105.0,4.0,4022.0
"Patrick County, Virginia",51,141,0.0,101.0,125.0,125.0,16475.0,17859.0,0.0,71.0,63.0,1024.0
"Powhatan County, Virginia",51,145,106.0,104.0,434.0,328.0,24720.0,28574.0,35.0,90.0,85.0,3106.0
"Rockbridge County, Virginia",51,163,150.0,30.0,450.0,300.0,21069.0,22509.0,0.0,150.0,75.0,735.0
"Shenandoah County, Virginia",51,171,78.0,369.0,1006.0,928.0,40424.0,43045.0,0.0,367.0,38.0,841.0
"Fauquier County, Virginia",51,061,197.0,467.0,2243.0,2046.0,60069.0,69115.0,27.0,1001.0,254.0,5054.0
"Charles City County, Virginia",51,036,10.0,22.0,194.0,184.0,3016.0,6995.0,0.0,31.0,453.0,3279.0
"Culpeper County, Virginia",51,047,113.0,1935.0,2099.0,1986.0,38439.0,50450.0,68.0,713.0,213.0,6983.0
"Dinwiddie County, Virginia",51,053,0.0,273.0,468.0,468.0,18269.0,28308.0,24.0,210.0,3.0,9061.0
"Greene County, Virginia",51,079,5.0,383.0,682.0,677.0,16882.0,19410.0,0.0,293.0,45.0,1125.0
"Hanover County, Virginia",51,085,33.0,389.0,2113.0,2080.0,90409.0,104449.0,144.0,1650.0,198.0,9546.0
"Lunenburg County, Virginia",51,111,22.0,186.0,246.0,224.0,7652.0,12278.0,0.0,397.0,14.0,3783.0
"Orange County, Virginia",51,137,59.0,403.0,1131.0,1072.0,29176.0,35612.0,0.0,347.0,114.0,4441.0
"Harrisonburg city, Virginia",51,660,431.0,914.0,3107.0,2676.0,43279.0,53391.0,0.0,2119.0,14.0,3958.0
"Emporia city, Virginia",51,595,0.0,10.0,220.0,220.0,1384.0,5381.0,0.0,15.0,3.0,3749.0
"Wythe County, Virginia",51,197,1.0,79.0,337.0,336.0,27439.0,28940.0,0.0,105.0,52.0,928.0
"Chesapeake city, Virginia",51,550,537.0,3758.0,8582.0,8045.0,145954.0,237820.0,216.0,7790.0,428.0,71092.0
"Albemarle County, Virginia",51,003,100.0,1131.0,2245.0,2145.0,86739.0,106355.0,30.0,5626.0,209.0,10375.0
"Bedford County, Virginia",51,019,120.0,303.0,1394.0,1274.0,69767.0,77908.0,17.0,1088.0,39.0,5300.0
"Botetourt County, Virginia",51,023,52.0,293.0,478.0,426.0,31087.0,33222.0,0.0,273.0,97.0,994.0
"Wise County, Virginia",51,195,74.0,50.0,526.0,452.0,35998.0,39025.0,15.0,165.0,44.0,2227.0
"Bristol city, Virginia",51,520,0.0,242.0,597.0,597.0,14804.0,16843.0,0.0,9.0,0.0,1191.0
"Portsmouth city, Virginia",51,740,251.0,1393.0,3605.0,3354.0,38276.0,95311.0,131.0,1251.0,467.0,50188.0
"Williamsburg city, Virginia",51,830,10.0,63.0,585.0,575.0,11022.0,14788.0,0.0,964.0,77.0,2077.0
"Alleghany County, Virginia",51,005,49.0,91.0,289.0,240.0,14065.0,15286.0,7.0,11.0,0.0,823.0
"Carroll County, Virginia",51,035,16.0,59.0,427.0,411.0,28960.0,29738.0,0.0,31.0,111.0,150.0
"Washington County, Virginia",51,191,44.0,314.0,646.0,602.0,52316.0,54406.0,12.0,293.0,47.0,778.0
"Northumberland County, Virginia",51,133,0.0,0.0,208.0,208.0,8594.0,12223.0,0.0,30.0,28.0,3363.0
"Page County, Virginia",51,139,40.0,182.0,400.0,360.0,22676.0,23749.0,0.0,101.0,26.0,364.0
"Warren County, Virginia",51,187,143.0,466.0,1515.0,1372.0,35447.0,39449.0,0.0,417.0,112.0,1492.0
"Alexandria city, Virginia",51,510,1555.0,7137.0,8134.0,6579.0,97091.0,156505.0,68.0,9553.0,276.0,34246.0
"Fredericksburg city, Virginia",51,630,280.0,1651.0,1910.0,1630.0,17834.0,28469.0,46.0,665.0,56.0,6307.0
"Hampton city, Virginia",51,650,330.0,2394.0,4567.0,4237.0,56166.0,135583.0,203.0,3490.0,725.0,68038.0
"Arlington County, Virginia",51,013,1266.0,11833.0,8462.0,7196.0,165609.0,231803.0,260.0,23992.0,870.0,20777.0
"Hopewell city, Virginia",51,670,170.0,598.0,576.0,406.0,11418.0,22408.0,0.0,323.0,24.0,9469.0
"Buchanan County, Virginia",51,027,12.0,84.0,99.0,87.0,21083.0,22138.0,0.0,186.0,45.0,641.0
"Frederick County, Virginia",51,069,229.0,640.0,2123.0,1894.0,77488.0,85153.0,69.0,1146.0,223.0,3464.0
"Stafford County, Virginia",51,179,738.0,8017.0,7808.0,7070.0,97930.0,144012.0,93.0,4880.0,414.0,24870.0
"York County, Virginia",51,199,325.0,675.0,2949.0,2624.0,51011.0,67587.0,224.0,3771.0,163.0,8794.0
"Richmond city, Virginia",51,760,502.0,2207.0,7402.0,6900.0,101498.0,223787.0,40.0,4789.0,937.0,106914.0
"Nelson County, Virginia",51,125,0.0,193.0,130.0,130.0,12479.0,14812.0,0.0,54.0,47.0,1909.0
"Pittsylvania County, Virginia",51,143,75.0,953.0,1818.0,1743.0,46210.0,61676.0,13.0,251.0,40.0,12391.0
"Norton city, Virginia",51,720,0.0,0.0,71.0,71.0,3597.0,3990.0,0.0,134.0,3.0,185.0
"Fluvanna County, Virginia",51,065,5.0,145.0,949.0,944.0,21206.0,26282.0,30.0,371.0,45.0,3536.0
"Amelia County, Virginia",51,007,0.0,0.0,348.0,348.0,9738.0,12854.0,0.0,0.0,31.0,2737.0
"Winchester city, Virginia",51,840,36.0,735.0,1306.0,1270.0,22353.0,27789.0,17.0,502.0,89.0,2787.0
"Accomack County, Virginia",51,001,17.0,230.0,316.0,299.0,22372.0,32742.0,0.0,74.0,176.0,9574.0
"Floyd County, Virginia",51,063,0.0,73.0,196.0,196.0,14996.0,15666.0,0.0,30.0,70.0,301.0
"Grayson County, Virginia",51,077,5.0,86.0,285.0,280.0,14618.0,15811.0,0.0,51.0,39.0,732.0
"Nottoway County, Virginia",51,135,0.0,175.0,103.0,103.0,8807.0,15500.0,40.0,46.0,15.0,6314.0
"Harrison County, West Virginia",54,033,36.0,49.0,1382.0,1346.0,65149.0,68209.0,30.0,409.0,39.0,1151.0
"Ohio County, West Virginia",54,069,54.0,120.0,714.0,660.0,39597.0,42547.0,0.0,318.0,90.0,1708.0
"Calhoun County, West Virginia",54,013,3.0,1.0,43.0,40.0,7339.0,7396.0,0.0,0.0,11.0,2.0
"Morgan County, West Virginia",54,065,0.0,48.0,258.0,258.0,17070.0,17624.0,0.0,17.0,105.0,126.0
"Raleigh County, West Virginia",54,081,66.0,587.0,1638.0,1572.0,67185.0,76232.0,10.0,708.0,290.0,5814.0
"Braxton County, West Virginia",54,007,0.0,5.0,215.0,215.0,13978.0,14282.0,29.0,0.0,0.0,55.0
"Barbour County, West Virginia",54,001,0.0,29.0,282.0,282.0,16057.0,16730.0,0.0,96.0,59.0,207.0
